Project;File_Path;SATD_Comment;Commit_Removal;Is_Conditional_Change_Related_To_SATD;Category
Tomcat;java/org/apache/catalina/connector/AsyncContextImpl.java;//TODO SERVLET3 - async;7703a4bfbe236c0a9201c3d4cfbe242353e3b48c;NO;
Tomcat;java/org/apache/coyote/http11/filters/ChunkedInputFilter.java;// FIXME: Improve parsing to check for CRLF;775d5fa422c231f9de36d6cc0aabd9a0e5d5feab;YES;CHANGE CONDITIONAL EXPRESSION
Tomcat;java/org/apache/catalina/ha/tcp/SimpleTcpCluster.java;// FIXME Hmm, is that correct when some DeltaManagers are direct configured inside Context? // Why we not support it for other elements, like sender, receiver or membership? // Must we restart element after change?;7d993a6bdc041e3b8ccdb3f811702d559271c209;NO;
Tomcat;java/org/apache/catalina/ha/session/JvmRouteBinderValve.java;// FIXME: Why we remove change data from other running request? // setId also trigger resetDeltaRequest!!;7eae8a53c5dcff4083ce3b667a7391bbb8da38cd;YES;REMOVE CONTROL LOGIC
Tomcat;java/org/apache/tomcat/util/net/NioEndpoint.java;//TODO this is not yet being used;85c6712a405749e299a8cdb110fee5389849214f;YES;REMOVE BRANCH
Tomcat;java/org/apache/tomcat/util/net/SSLImplementation.java;// Workaround for the J2SE 1.4.x classloading problem (under Solaris). // Class.forName(..) fails without creating class using new. // This is an ugly workaround.;8895cc52781ff658a5cc9df51ca7a128fbd4deca;YES;REMOVE CODE
Tomcat;java/org/apache/jasper/EmbeddedServletOptions.java;// quick hack;8fa1bd4bd1539f564a4b8f0db18ef9bf6091eef9;NO;
Tomcat;java/org/apache/catalina/core/ApplicationContext.java;// TODO SERVLET3 - ASync support;93dc4a710cc7da1731da45ded503e90c82c84c7e;NO;
Tomcat;java/org/apache/tomcat/util/net/SecureNioChannel.java;// TODO: Extract the correct configuration for the requested host name // and set up the SSLEngine accordingly. At that point this can // become a debug level message.;9c46bdb64f830ebb32ec535e3e16a97d14405516;YES;ADD CONTROL LOGIC
Tomcat;java/org/apache/tomcat/util/net/SecureNio2Channel.java;// TODO: Extract the correct configuration for the requested host name // and set up the SSLEngine accordingly. At that point this can // become a debug level message.;9c46bdb64f830ebb32ec535e3e16a97d14405516;YES;ADD CONTROL LOGIC
